name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Edinburgh, Scotland, United Kingdom",2016-12-01,51.4,45.8,48.5,51.4,41.7,45.1,40.3,73.4,0.0,0,0.0,,0.0,0.0,26.6,15.3,250.2,1027.1,73.1,14.0,26.3,2.2,1,,2016-12-01T08:20:01,2016-12-01T15:43:37,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2016-12-02,45.3,34.4,40.6,45.3,34.0,39.6,38.3,91.8,0.0,0,0.0,,0.0,0.0,14.1,5.8,246.8,1027.8,67.7,11.0,9.4,0.8,1,,2016-12-02T08:21:38,2016-12-02T15:42:48,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2016-12-03,42.8,30.6,37.0,42.8,29.2,36.5,36.1,96.5,0.009,100,12.5,"rain,snow",0.0,0.0,4.9,5.7,216.8,1027.4,83.7,9.4,15.2,1.3,1,,2016-12-03T08:23:13,2016-12-03T15:42:02,0.14,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2016-12-04,41.0,26.0,34.3,40.5,26.0,33.3,30.5,86.2,0.007,100,4.17,rain,0.0,0.0,8.1,5.7,147.4,1027.7,66.4,10.4,24.8,2.1,1,,2016-12-04T08:24:45,2016-12-04T15:41:19,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2016-12-05,33.1,22.5,26.5,33.1,22.5,26.5,25.7,96.7,0.0,0,0.0,,0.0,0.3,8.1,2.8,252.1,1025.4,45.8,4.4,26.6,2.2,2,,2016-12-05T08:26:14,2016-12-05T15:40:41,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2016-12-06,51.3,26.7,35.1,51.3,23.2,34.5,34.6,98.2,0.008,100,4.17,"rain,snow",0.0,0.0,30.4,6.8,242.7,1021.7,84.7,3.9,8.7,0.6,1,,2016-12-06T08:27:40,2016-12-06T15:40:07,0.24,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2016-12-07,57.4,53.1,55.6,57.4,53.1,55.6,51.1,85.2,0.051,100,8.33,rain,0.0,0.0,44.6,24.6,229.6,1012.3,57.9,13.9,7.4,0.7,0,,2016-12-07T08:29:04,2016-12-07T15:39:37,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2016-12-08,53.4,42.5,49.7,53.4,38.7,48.4,46.0,87.1,0.003,100,4.17,rain,0.0,0.0,36.5,16.6,241.0,1017.7,46.0,8.7,11.8,1.0,1,,2016-12-08T08:30:24,2016-12-08T15:39:10,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2016-12-09,55.6,39.2,51.2,55.6,37.3,50.7,47.1,86.3,0.013,100,8.33,rain,0.0,0.0,34.4,17.6,227.1,1014.2,68.1,11.1,6.8,0.5,0,,2016-12-09T08:31:41,2016-12-09T15:38:48,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2016-12-10,51.5,43.4,47.9,51.5,36.8,43.0,42.8,82.5,0.002,100,8.33,rain,0.0,0.0,33.2,20.6,238.4,1013.7,43.2,9.8,19.5,1.7,1,,2016-12-10T08:32:55,2016-12-10T15:38:30,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
