Date,Event Name,Size
2016-01-01,Edinburgh Hogmanay,75000
2016-03-26,Edinburgh Science Festival,100000
2016-03-27,Edinburgh Science Festival,100000
2016-03-28,Edinburgh Science Festival,100000
2016-03-29,Edinburgh Science Festival,100000
2016-03-30,Edinburgh Science Festival,100000
2016-03-31,Edinburgh Science Festival,100000
2016-04-01,Edinburgh Science Festival,100000
2016-04-02,Edinburgh Science Festival,100000
2016-04-03,Edinburgh Science Festival,100000
2016-04-04,Edinburgh Science Festival,100000
2016-04-05,Edinburgh Science Festival,100000
2016-04-06,Edinburgh Science Festival,100000
2016-04-07,Edinburgh Science Festival,100000
2016-04-08,Edinburgh Science Festival,100000
2016-04-09,Edinburgh Science Festival,100000
2016-04-10,Edinburgh Science Festival,100000
2016-04-30,Beltane Fire Festival,10000
2016-06-15,Edinburgh International Film Festival,40000
2016-06-16,Edinburgh International Film Festival,40000
2016-06-17,Edinburgh International Film Festival,40000
2016-06-18,Edinburgh International Film Festival,40000
2016-06-19,Edinburgh International Film Festival,40000
2016-06-20,Edinburgh International Film Festival,40000
2016-06-21,Edinburgh International Film Festival,40000
2016-06-22,Edinburgh International Film Festival,40000
2016-06-23,Edinburgh International Film Festival,40000
2016-06-24,Edinburgh International Film Festival,40000
2016-06-25,Edinburgh International Film Festival,40000
2016-06-26,Edinburgh International Film Festival,40000
2016-07-15,Edinburgh Jazz & Blues Festival,50000
2016-07-16,Edinburgh Jazz & Blues Festival,50000
2016-07-17,Edinburgh Jazz & Blues Festival,50000
2016-07-18,Edinburgh Jazz & Blues Festival,50000
2016-07-19,Edinburgh Jazz & Blues Festival,50000
2016-07-20,Edinburgh Jazz & Blues Festival,50000
2016-07-21,Edinburgh Jazz & Blues Festival,50000
2016-07-22,Edinburgh Jazz & Blues Festival,50000
2016-07-23,Edinburgh Jazz & Blues Festival,50000
2016-07-24,Edinburgh Jazz & Blues Festival,50000
2016-07-28,Edinburgh Art Festival,300000
2016-07-29,Edinburgh Art Festival,300000
2016-07-30,Edinburgh Art Festival,300000
2016-07-31,Edinburgh Art Festival,300000
2016-08-01,Edinburgh Art Festival,300000
2016-08-02,Edinburgh Art Festival,300000
2016-08-03,Edinburgh Art Festival,300000
2016-08-04,Edinburgh Art Festival,300000
2016-08-05,Edinburgh International Festival,400000
2016-08-05,Edinburgh Festival Fringe,2700000
2016-08-05,Royal Edinburgh Military Tattoo,220000
2016-08-06,Edinburgh International Festival,400000
2016-08-06,Edinburgh Festival Fringe,2700000
2016-08-06,Royal Edinburgh Military Tattoo,220000
2016-08-07,Edinburgh International Festival,400000
2016-08-07,Edinburgh Festival Fringe,2700000
2016-08-07,Royal Edinburgh Military Tattoo,220000
2016-08-08,Edinburgh International Festival,400000
2016-08-08,Edinburgh Festival Fringe,2700000
2016-08-08,Royal Edinburgh Military Tattoo,220000
2016-08-09,Edinburgh International Festival,400000
2016-08-09,Edinburgh Festival Fringe,2700000
2016-08-09,Royal Edinburgh Military Tattoo,220000
2016-08-10,Edinburgh International Festival,400000
2016-08-10,Edinburgh Festival Fringe,2700000
2016-08-10,Royal Edinburgh Military Tattoo,220000
2016-08-11,Edinburgh International Festival,400000
2016-08-11,Edinburgh Festival Fringe,2700000
2016-08-11,Royal Edinburgh Military Tattoo,220000
2016-08-12,Edinburgh International Festival,400000
2016-08-12,Edinburgh Festival Fringe,2700000
2016-08-12,Royal Edinburgh Military Tattoo,220000
2016-08-13,Edinburgh International Book Festival,250000
2016-08-13,Edinburgh International Festival,400000
2016-08-13,Edinburgh Festival Fringe,2700000
2016-08-13,Royal Edinburgh Military Tattoo,220000
2016-08-14,Edinburgh International Book Festival,250000
2016-08-14,Edinburgh International Festival,400000
2016-08-14,Edinburgh Festival Fringe,2700000
2016-08-14,Royal Edinburgh Military Tattoo,220000
2016-08-15,Edinburgh International Book Festival,250000
2016-08-15,Edinburgh International Festival,400000
2016-08-15,Edinburgh Festival Fringe,2700000
2016-08-15,Royal Edinburgh Military Tattoo,220000
2016-08-16,Edinburgh International Book Festival,250000
2016-08-16,Edinburgh International Festival,400000
2016-08-16,Edinburgh Festival Fringe,2700000
2016-08-16,Royal Edinburgh Military Tattoo,220000
2016-08-17,Edinburgh International Book Festival,250000
2016-08-17,Edinburgh International Festival,400000
2016-08-17,Edinburgh Festival Fringe,2700000
